[(np.int64(40), np.int64(31), np.int64(20)) 45678.0]
[(np.int64(254), np.int64(254), np.int64(192)) 22364.0]
[(np.int64(98), np.int64(84), np.int64(66)) 44243.0]
[(np.int64(125), np.int64(109), np.int64(86)) 35880.0]
[(np.int64(206), np.int64(175), np.int64(146)) 31394.0]
[(np.int64(181), np.int64(151), np.int64(125)) 5065.0]
[(np.int64(254), np.int64(254), np.int64(166)) 2083.0]
[(np.int64(255), np.int64(232), np.int64(183)) 397.0]
[(np.int64(254), np.int64(221), np.int64(167)) 248.0]
[(np.int64(170), np.int64(105), np.int64(80)) 27.0]
[(np.int64(231), np.int64(108), np.int64(82)) 3.0]
[(np.int64(145), np.int64(78), np.int64(51)) 35.0]
[(np.int64(39), np.int64(61), np.int64(21)) 1.0]
[(np.int64(233), np.int64(150), np.int64(124)) 5.0]
[(np.int64(243), np.int64(124), np.int64(86)) 1.0]
